builder,tier,name,wpn_bonus_add,wpn_bonus_mult,wpn_period_mult,dps_bonus_add,dps_bonus_mult,sort_with_dps_bonus,life_bonus_add,life_bonus_mult,sort_with_life_bonus,notes
Automaton,3,R1D1 ASTROMECH,0,1,1.0,30.0,1.0,False,300.0,1.0,True,"Uplink: +300 HP, 10% DR, +10% damage, +10% AS | assume applied to Captain (1.1 * (500+300)=+380, 11-18/0.25=62.06 => 17-25/0.23=91.03|+30 DPS"
Automaton,3,T2J-N2N AEW&C SATELLITE,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,3,SW3-NTZ WELDTECH RELAY,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,4,CAR-BN PROTOTYPE,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,4,NFALL-201 ASIMOV,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,4,BSG-102 CENTURION,0,1,1.0,0.0,1.0,True,0.0,1.6875,True,Networked HP: 125% HP stack per Centurion | assume 8 Centurions: (8 ^ 1.25 / 8 = 13.5 / 8 = 1.6875)
Automaton,5,UL-T0 GRAV LANCE,0,1,1.0,0.0,5.0,True,0.0,1.0,True,Gravity Lance Beam: Assume 5 enemies hit per shot
Automaton,5,KR-0LK LASER BATTERY,0,1,1.0,0.0,1.0,True,0.0,1.0,True,5 strikes/attacks (already counted in DPS calculations)
Automaton,5,BR-14N MISSILE ARRAY,0,1,1.0,0.0,4.5,True,0.0,1.0,True,Launches 10 missiles
Automaton,6,N3K-R0 DREADNOUGHT,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,1u,T-101 PULVERIZER,0,1,1.0,0.0,2.0,True,0.0,1.0,True,Explosive Rounds: Assume 2 additional enemies hit | (1+2 * 0.5) = 2
Automaton,1u,T-501 OBLITERATOR,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,2u,ST-D4T4 ANDROID,0,1,1.0,0.0,1.0,True,0.0,1.8,True,Reassembly: respawn at 80% HP
Automaton,2u,BB-2001 BRAWLER MK IV,0,1,1.24,0.0,1.0,True,0.0,1.41,True,Assume 7 kills and 4 more stacks from damage taken (11): 29%DR; 24% attack and move speed | 1/(100-29%)=1.41; 24% => 1.24
Automaton,3u,AN/FPS-7 Radar,0,1,1.0,0.0,0.0,False,0.0,1.0,True,
Automaton,6u,PRPN-F1RB EXECUTIONER,0,1,1.0,0.0,2.0,True,0.0,1.17,True,Battle Domination: 2x damage | Takes 50% dmg from taunted enemies
Automaton,6u,CEL-012 ANNIHILATOR,0,1,1.0,0.0,1.624,True,0.0,1.0,True,High Intensity Beams -1% DR/s | Align Prisms +20%/s | assume 3s per target =100.5%^3*160%=1.624
Automaton,6u,TOR-N0 UPHOLDER,0,1,1.0,0.0,1.0,True,4000.0,1.0,True,Quark Shields: reverts 50 damage/energy. 50 starting energy + 30 seconds (1 energy/second) = 50*(50+30*1) = 4000
Beast,1,Zergling Warrior,0,1,1.0,0.0,1.0,True,0.0,1.25,True,Gash: 25% AS debuff
Beast,2,Harpy,0,1,1.0,15.0,1.0,True,0.0,1.15,True,Poison Sac: +3 damage/second for 5 seconds and 15% AS debuff = +15
Beast,3,Roach Fighter,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Beast,4,Grizzly,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Beast,5,Swarm Host,0,1,1.0,136.0,1.0,True,1760.0,1.0,True,"Spawn Swarm Locusts: 2ea locusts every attack (220hp, 43dps) | assume 4 attacks (2*4*220) | 2(locust)*(34dmg)*2(attacks)=136"
Beast,6,Spawn of Dragon,0,1,1.0,0.0,2.2,True,0.0,1.0,True,Circle Slash: 40% AOE (assume 3 enemies) = 1 + 1*4/10*3 = 2.2
Beast,1u,Zergling Savage,0,1,1.0,50.0,1.0,True,0.0,1.0,True,Deep Gash: +10 spell damage/s (assume 5 seconds) = +50 damage
Beast,1u,Raptorling,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Beast,2u,Medusa,0,1,1.0,55.0,1.0,True,0.0,1.0,True,Venom Sac: +11 damage/s for 5 seconds = +55
Beast,3u,Roach Champion,0,1,1.0,0.0,1.54,False,0.0,1.0,True,Adrenaline Rush: +18% AS to 3 allies
Beast,4u,Greymane,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Beast,5u,Primal Host,0,1,1.0,720.0,1.0,True,3000.0,1.0,True,"Spawn Primal Locusts: 2ea locusts every attack (300hp, 113dps) | assume 5 attacks (2*5*300) | 2(locust)*(90damage)*4(attacks)=720"
Beast,5u,Mecha Host,0,1,1.0,92.0,1.0,True,5000.0,1.0,True,"Spawn Mecha Locusts: 2ea locusts every attack (500hp, 70dps) | assume 5 attacks (2*5*500) | 2(locust)*(23damage)*2(attacks)=92"
Beast,6u,Dragon Aspect,350,1,1.0,0.0,1.0,True,0.0,1.0,True,Emerald Fire: 300 AOE (assume 1 enemies) + 150 AOE (assume 5 enemies) for 1/3 shots = 350
Celestial,1,Cherub,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,2,Spirit,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,3,Saint,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,4,Vanguard,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,5,Prophet,0,1,1.0,0.0,1.4,True,0.0,1.0,True,Foresight: 40% to deal 200% = (0.6*1+0.4*2) = (0.6+0.8) = 1.4
Celestial,6,Deity,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,1u,Seraphim,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,2u,Daemon,0,1,1.0,67.0,1.0,True,0.0,1.0,True,Torment: Assume 5 units hit for 40 damage | every 3 sec => 200/3=67
Celestial,3u,Archangel,0,1,1.0,64.29,1.0,True,0.0,1.0,True,Purge: +450 damage for 7 energy = 450/7 = 64.29
Celestial,3u,Cupid,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,3u,Fallen,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,3u,Celestian,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,4u,Templar,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,4uu,Kingsguard,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Celestial,5u,Auror,0,1,1.0,0.0,2.2,True,0.0,1.0,True,Absolution: +4% attack speed per attack | max 40 stacks | use adjusted midpoint of 30*4%
Celestial,6u,Theos,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,1,Proton,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,2,Aqua Spirit,0,1,1.0,0.0,1.8,True,0.0,1.0,True,Water Splash: 2 energy for +80% dmg (10 hits in a row at 80% then 50% hit extra 80%)| 1.8 DPS
Elemental,3,Watcher,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,4,Mudman,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,5,Disciple,0,1,1.0,65.0,1.0,True,0.0,1.0,True,Energy Burst: 65 damage for 3 energy (15 energy)
Elemental,6,Seer of Darkness,0,1,1.0,0.0,1.0,True,0.0,3.0,True,Late game effectively 300% HP due to 70% damage reduction
Elemental,1u,Adept,0,1,1.0,0.0,1.5,True,0.0,1.0,True,Energy Catalyst: +400% AS for 2s every 10 energy |  (10s*100% DPS + 2s*400% DPS)/12s = (10+8)/12 = 18/12 = 1.5
Elemental,2u,Oceanus,0,1,1.0,108.0,1.0,True,0.0,1.0,True,"Boomerang: 250 damage initial hit, -10% per bounce, 9 bounces = 1628 every 15 energy | 1628 / 15 = 108"
Elemental,2uu,Thalassotherapy,0,1,1.0,94.0,1.0,True,1405.0,1.0,True,"Tributary: 300 damage initial hit, -10% per bounce, 5 bounces = 1405 every 15 energy | 1405 / 10 = 94"
Elemental,3u,Violet,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,4u,Golem,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Elemental,5u,Messiah,0,1,1.0,65.0,1.0,True,0.0,1.0,True,Energy Burst: 65 damage for 3 energy (15 energy)
Elemental,6u,Fenix,0,1,1.0,40.0,1.0,True,0.0,4.0,True,Energy Rage: +40 damage |  late game effectively 400% HP due to 75% damage reduction
Ghost,1,Spectre,0,1,1.0,0.0,1.0,True,0.0,1.1765,True,Phase Out: 15% dodge=1/(1-0.15)=0.1765
Ghost,2,Wanderer,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,3,Phantom,0,1,1.0,0.0,1.0,True,0.0,1.0,True,3 strikes/attacks (already counted in DPS calculations)
Ghost,4,Outcast,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,5,Apparition,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,6,Eidolon,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,1u,Wraith,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,1uu,Mercurial,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,2u,Soul of Villains,0,1,1.0,0.0,1.2,True,0.0,1.0,True,Violate: +20% damage
Ghost,2u,Soul of Heroes,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,2uu,Soul of Legends,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Ghost,3u,Hell Raiser,0,1,1.0,0.0,1.0,True,0.0,1.0,True,3 strikes/attacks (already counted in DPS calculations)
Ghost,4u,Forsaken One,0,1,1.0,8.0,1.0,True,0.0,1.25,True,Fadestrike: 20% dodge=1/(1-0.2)=1.25 | 20% * 40 damage = 8
Ghost,4uu,Phantasm,0,1,1.0,0.0,1.0,True,0.0,1.53,True,Fadestrike: 35% dodge=1/(1-0.35)=1.53
Ghost,5u,Gravekeeper,0,1,1.0,0.0,1.0,True,0.0,1.1429,True,Despair Aura: -10% or -15% damage ~= -12.5% = 1/(1-0.125) = 0.1429
Ghost,6u,Melinoe,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Mechanical,1,Peewee,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Mechanical,2,Infantry,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Mechanical,3,Captain,0,1,1.0,21.0,1.07,False,0.0,1.0,True,Leadership: 7% damage | Assume 2 Pyro buffed (7% * 2 * 150 DPS = 21 DPS)
Mechanical,4,Tempest,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Mechanical,5,Cyborg,0,1,1.0,0.0,1.0,True,0.0,1.625,True,Spring of Life: Heal allies for 25% of dmg (max 40 HP) | Assume 50% effective healing all dmg taken to 5 allies (1 + 0.5 * 0.25 * 5 = 1.625 Life Multiplier)
Mechanical,6,Neotank,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Mechanical,1u,Veteran,0,1,1.0,16.0,1.0,False,0.0,1.0,True,Adrenaline Cloud: +8 dmg/ally for 10s | Assume 30s total lifespan with 6 allies buffed (10/30 * 6 * 8 = +16 DPS)
Mechanical,2u,Pyro,0,1,1.0,0.0,2.0,True,0.0,1.0,True,Twin Flamethrower: 50% damage to 2 nearby enemies
Mechanical,2u,Zeus,0,1,1.0,38.9,1.0,True,0.0,1.0,True,Power Surge: +65 damage for 10 energy (+1 energy/attack * 0.2s/attack + 1 energy/second = +6 energy/s) = +65/1.667 = 38.9
Mechanical,3u,Admiral,0,1,1.0,100.0,1.12,False,0.0,1.0,True,Superiority: 12% damage | Assume 1 Doomsday buffed (12% * 833.56 DPS = 100 DPS)
Mechanical,4u,Leviathan,0,1,1.0,240.0,1.0,True,0.0,1.0,True,Shrapnel: 3 missiles at 80 damage each = +240
Mechanical,5u,Krogoth,0,1,1.0,0.0,1.0,True,0.0,1.8,True,Font of Life: Heal allies for 40% of dmg (max 150 HP) | Assume 25% effective healing all dmg taken to 8 allies (1 + 0.25 * 0.40 * 8 = 1.8)
Mechanical,6u,Doomsday Machine,0,1,1.0,0.0,2.2,True,0.0,1.0,True,Heavy Particle Beam: average 25% damage in line (assume 7 enemies): +175%
Nature,1,ENT,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Nature,2,RANGER,0,1,1.0,0.0,1.2,True,0.0,1.0,True,Vulture Eye: 33% for 160% dmg | 66% * 100% + 33% * 160% = 2/3 +8/5*1/3 = 10/15 + 8/15 = 18/15 = 120% DPS
Nature,3,SPRITE,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Nature,4,T.R.E.E. of Travel,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Nature,5,Halfbreed,0,1,1.0,0.0,1.0,True,0.0,1.233,True,Resistant Flesh: 30% reduce damage by 10 and 25% (assume 40 dmg [wave 16]) | 70% * 100% + 30% * (40/30) * (1/(1-25%)) = 7/10+3/10*4/3*4/3=63/90+48/90=37/30
Nature,6,YGGDRASIL,0,1,1.0,0.0,1.0,True,1560.0,1.0,True,Sacred Blessing: Heal 4 allies for 35 + 2% / 5s | Assume 30s lifespan and 1500 HP = (30/5 * 4 * (35 + 1500*0.02) = 6 * 4 * 65 = 1560 HP
Nature,1u,GUARDian,0,1,1.0,0.0,1.0,True,621.0,1.0,True,Entangle: Assume Immortal held out of combat for 3 cycles (18s) | 18 * 34.5 = 621 HP saved
Nature,2u,MELIAI,0,1,1.0,0.0,1.33,True,0.0,1.0,True,Precision: 33% for 200% dmg | 66% * 100% + 33% * 200% = 2/3 +2*1/3 = 4/3 = 1.33
Nature,3u,THUNDERBIRD,200,1,1.0,0.0,1.0,True,0.0,1.0,True,Afterburner: +50 damage to nearby units per attack (assume 4) | +200
Nature,4u,T.R.E.E. of Time,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Nature,5u,Hercules,0,1,1.0,0.0,1.0,True,2443.0,1.0,True,Resilient Field: Allies in 3 range gain 20% stun for 1s | Assume 20ea wave 16 attacking over 20s = 20 * 0.2 / (1.1 attack/s) * 20 * 33.6 DPS = 2443 HP saved
Nature,6u,T.R.E.E. of Knowledge,0,1,1.0,265.0,1.0,True,0.0,1.0,True,Forbidden Fruit: Reflect 100% damage taken + 300 dmg explosion | Assume 20s lifespan (DPS = HP/20 = 3500/20 = 175) and 6 enemies hit (6 * 300 / 20 = 90)
Nature,6u,T.R.E.E. of Life,0,1,1.0,0.0,1.0,True,4881.0,1.0,True,Water of Life: Heals 6 allies for 35 + 2% HP 3s + on-death heal 5 allies for 50+10% HP | Assume 30s lifespan = 30/2.5 * 6 * (35+2110*2%) = 12*6*77 = 5544
Shadow,1,Bone Warrior,0,1,1.0,0.0,1.0,True,12.0,1.0,True,Frenzy: +3 HP/s (assume 4s alive) = +12
Shadow,2,Carrion Spitter,0,1,1.0,0.0,1.0,True,0.0,1.05,True,2 strikes/attacks (already counted in DPS calculations)
Shadow,3,Gateguard,0,1,1.0,11.85,1.0,True,185.0,1.1008,True,Call of Praesidio: 4% DR/enemy (assume 10) for 3s every 15s = 1/((1-4%)^10) DR * 1/5 of the time = 110.08% HP | +185 HP pet w/ (14-18) per 1.35 = 11.85 DPS
Shadow,4,Bone Overseer,0,1,1.0,0.0,1.0,True,736.0,1.0,True,Blood Thirst: 4 allies gain 10% lifesteal | Assume 2 Nightmare (184 DPS) over 20s = 20 * 2 * 184 * 0.1 = 736
Shadow,5,Nightmare,0,1,1.0,0.0,1.1,True,0.0,1.0,True,Counter Attack: 10% of 200% = 9/10+2/10=11/10=1.1
Shadow,6,Lord of Death,0,1,1.0,51.85,1.0,True,850.0,1.0,True,Invoke Inferno: +850 HP pet | +((69+71)/2/1.35) DPS = +51.85
Shadow,1u,Fire Archer,0,1,1.0,25.25,1.0,True,12.0,1.0,True,Frenzy (+12) | Flaming Arrows: +20 damage + 3 DPS*1.75s every 7 energy | (20+3*7/4)/7 = (80/4+21/4)/7=101/4 = 25.25
Shadow,1u,Skeletor,0,1,1.0,0.0,1.0,True,12.0,1.0,True,Frenzy (+12)
Shadow,1u,Dark Mage,0,1,1.0,55.2,1.0,False,12.0,1.0,True,Frenzy (+12) | Vocant de Furor: +30% AS ally for 20s | Assume Nightmare (184 DPS) = 184 * 0.3 = 55.2
Shadow,2u,Nightcrawler,0,1,1.0,0.0,1.0,True,0.0,1.15,True,3 strikes/attacks (already counted in DPS calculations)
Shadow,3u,Harbinger,0,1,1.0,32.59,1.0,True,470.0,1.1008,True,Figurandum Mones: 4% DR/enemy (assume 10) for 3s every 15s = 1/((1-4%)^10) DR * 1/5 of the time = 110.08% HP | +470 HP pet w/ (40-48) and 1.35 AS = 32.59 DPS
Shadow,4u,Keeper of Souls,0,1,1.0,0.0,1.0,True,4160.0,1.0,True,Sound of Madness: 5 allies gain 20% lifesteal | Assume 2 Doppelganger (520 DPS) for 20s = 20 * 2 * 520 * 0.2 = 4160
Shadow,5u,Doppelganger,100,1,1.0,0.0,1.0,True,0.0,1.0,True,Fatality: +4 dmg/attack | assume average 100 extra
Shadow,6u,Hades,0,1,1.0,262.5,1.0,False,3500.0,1.0,True,Spawns 5 Imps with 350 HP and ((40+44)/2/0.8=52.5DPS 2 times => +3500 HP + 262.5 DPS
Soul,1,Essence,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Soul,2,Flux,0,1,1.0,4.0,1.0,True,0.0,1.0,True,Blinding Light: +20 dmg for 5 energy = +4
Soul,3,Craggy,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Soul,4,Netherlord,0,1,1.0,0.0,1.0,True,0.0,1.25,True,Assembler: 20% damage reduction=1/(1-20%) = 125% HP
Soul,5,Shadow Fist,90,1,1.0,0.0,1.0,True,0.0,1.0,True,Dark Blade: 30 damage to enemies in 2 range cone. | Assume 3 enemies hit = (3 * 30) = 90
Soul,6,Teeter,0,1,1.0,0.0,2.2,True,0.0,1.0,True,Feed: +10%/s near enemies (2s AS) = 100% + 120% attacks = *1.1 DPS | On The Brink: for 1s (every 4s+1s near enemy) | +500% AS = 200% DPS
Soul,1u,Runeguard,0,1,1.0,50.0,1.0,False,0.0,1.0,True,Soul Flash: 25 damage AOE upon unit death | Assume 4 units buffed with 20s wave hitting 10 units each (25 * 4 * 10 / 20 = 50 DPS)
Soul,2u,Stahrry,0,1,1.0,22.22,1.0,True,0.0,1.0,True,Crescent: 200 dmg for 9 energy = 22.22
Soul,3u,Lord Kaiser,0,1,1.0,20.5,1.0,True,1200.0,1.0,True,Throw Feast: 400HP pet + 20.5 DPS | Assume 15s survival = 27 energy = 3 spawns during lifespan
Soul,4u,Nethermaster,0,1,1.0,0.0,1.0,True,0.0,1.35,True,Essence Fortification: 5% heal per evade(blind); assume 7 heals=0.05*10=0.35=>1.35
Soul,5u,Scorned Hand,350,1,1.0,0.0,1.0,True,0.0,1.0,True,Shadow Fury: 60 damage to enemies in 3 range cone. | Assume 7 enemies hit = (7 * 50 / 0.9) = 350
Soul,6u,Heisendonger,0,1,1.0,480.0,1.2,True,0.0,1.0,True,"Feed: +10%/s near enemies (1s AS) = 100%,110%,120%,130%,140% = *1.2 DPS; Ding: 100*(1+2*0.5) + 200*(1+4 * 0.5) + 400*(1+6 * 0.5) =2600 every 5s = +480"
Sylphy,1,Note,0,1,1.0,0.0,1.0,True,75.0,1.0,True,Recovery 1 | +15 hp/s | assume 5s survival | 15*5 = 75 hp
Sylphy,2,Apprentice,0,1,1.0,0.0,1.1,True,0.0,1.0,True,Aptitude 1 | +10% attack speed
Sylphy,3,Patron,0,1,1.0,0.0,1.0,True,0.0,1.05,True,Tactics 1 | +5% damage reduction
Sylphy,4,Tremolo,0,1,1.0,0.0,1.05,True,0.0,1.0,True,Vigor 1 | +5% damage
Sylphy,5,Artisan,0,1,1.0,0.0,1.0,True,138.0,1.0,True,Resolve 1 | +6% lifesteal | assume 20s survival | 115 dps * 0.06 lifesteal * 20s = 138
Sylphy,6,Kapelle,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Sylphy,1+1m,Glissando,0,1,1.0,0.0,1.0,True,225.0,1.0,True,
Sylphy,1+2m,Clef,0,1,1.0,6.0,1.1,True,150.0,1.0,True,Poco a Poco: +1 damage/attack to nearby allies for 3 seconds | assume 2 allies with 1 attack/second and average 3 stacks | 2 * 3 = +6 dps
Sylphy,1+3m,Producer,0,1,1.0,0.0,1.05,True,150.0,2.4,True,"Sostenuto: 200% HP early game, 20% for 50% DR | (1/(1-50%) * 20% + 1*80%)*2 = 2.4"
Sylphy,2+2m,Dramaturge,0,1,1.0,0.0,2.6,True,0.0,1.0,True,Adagio: Assume 5 units hit | 1+4*0.25=2
Sylphy,2+3m,Usher,0,1,1.0,0.0,1.2,True,460.0,1.05,True,Legato: 75 dps / (325 damage / 100 hp heal) =  23 hp/s heal | assume 20s wave | 23 * 20 = 460 bonus hp
Sylphy,2+4m,Staccato,0,1,1.0,0.0,2.0,True,0.0,1.0,True,Accent: 25% chance to deal 300% damage | 75%*100%+25%*350%=0.75+0.25*3.5=0.75+0.875=1.625 | 1.625 * 1.2 * 1.05 = 2
Sylphy,3+3m,Tenor,0,1,1.0,0.0,1.05,True,0.0,1.32,True,Dal Segno: -15% attack speed and -10% damage to nearby enemies | assume 1/round affects 4 active enemies | wag at 15% DR equivalent | 1.15*1.15 = 1.32
Sylphy,3+4m,Alto,0,1,1.0,0.0,1.05,True,0.0,1.1,True,Fermata: No direct effect
Sylphy,3+5m,Soprano,0,1,1.0,0.0,1.2,False,106.0,1.1,True,Tenuto: Assume 2 units consistently gaining 2 stacks of +10% damage received | approximate as 20% damage 
Sylphy,4+4m,Allegro,0,1,1.0,0.0,1.63,True,0.0,1.0,True,Stringendo: +150% weapon damage for 4 seconds. Cost 10 energy: (10s*100%DPS + 4s*250%DPS)/14 = (10+10)/14 = 20/14 = 1.42 | 1.42 * 1.15 = 1.63
Sylphy,4+5m,Solo,0,1,1.0,49.63,1.1,True,167.0,1.0,True,Candenza: 150% damage reflection | assume 50% of hp reflected over 30s wave | 1985 * 0.5 * 1.5 / 30 = 49.63
Sylphy,4+6m,Conductor,0,1,1.0,0.0,1.1,True,0.0,1.0,True,Inspiration: No direct effect
Sylphy,5+5m,Fortissimo,0,1,1.0,126.0,1.0,True,210.6,1.0,True,Glockenspiel: Deals 10% total damage taken to units within 2 range | Assume 8 units hit: 3150*0.1*8=2520 | 20 seconds wave duration: 2520/20=126
Sylphy,5+6m,Crescendo,0,1,1.0,0.0,1.0,True,360.0,1.0,True,Unison: No direct effect (ensures longer life for healing impact)
Sylphy,6+6m,Composer,0,1,1.0,0.0,1.9,True,1800.0,1.4724,True,Assume 6 Crescendo | Aptitude M: +10% AS | Recovery M: +15 HP/s (assume 20s) | Resolve M: +2.5% DR | Tactics M: 5% for 50% DR | Vigor M: +5% dmg
Taldarim,1,Retaliator,0,1,1.0,6.0,1.0,True,0.0,1.0,True,Assume 10 units hit for 12 damge and 20 sec wave => 10*12/20=6
Taldarim,1u,Supplicant,0,1,1.0,30.0,1.0,True,0.0,1.0,True,Assume 20 units hit for 30 damge and 20 sec wave => 20*30/20=6
Taldarim,1uu,Empowered Supplicant,0,1,1.0,40.0,1.0,True,0.0,1.0,True,Assume 20 units hit for 30 + 2%*500hp damge and 20 sec wave => 20*(30+10)/20=40
Taldarim,1uu,Amplified Supplicant,0,1,1.0,31.5,1.0,True,0.0,1.0,True,Assume 20 units hit for 30*1.05 damge and 20 sec wave => 20*31.5/20=31.5
Taldarim,2,Riftblade,0,1,1.0,0.0,5.0,True,0.0,1.0,True,Assume 5 units hit with slash
Taldarim,2u,Astralblade,0,1,1.0,0.0,7.0,True,0.0,1.0,True,Assume 7 units hit with slash
Taldarim,2uu,Thunder Astralblade,0,1,1.0,0.0,9.0,True,0.0,1.0,True,Assume 9 units hit with slash
Taldarim,2uu,Whirlwind Astralblade,0,1,1.0,216.0,1.0,True,0.0,1.0,True,Assume whirlwind activates 2 times hitting 20 units for 12 damage 9 times over 20 sec wave: 2*20*11*9/20=216
Taldarim,3,Aegis,0,1,1.0,0.0,1.0,True,200.0,1.0,True,Assume 2 times recharges 100 hp => 200
Taldarim,3u,Havoc,0,1,1.0,0.0,1.0,True,450.0,1.0,True,Assume 3 times recharges 150 hp => 450
Taldarim,3uu,Swift Havoc,0,1,1.0,0.0,1.0,True,900.0,1.0,True,Assume 6 times recharges 150 hp => 900
Taldarim,3uu,Chrono Havoc,0,1,1.0,0.0,1.4,False,450.0,1.0,True,Assume 3 times recharges 150 hp => 450; 1.4 attack speed to an ally (not self)
Taldarim,4,Void Smasher,0,1,1.0,57.0,1.0,True,0.0,1.0,True,400 damage every 7 seconds => 57
Taldarim,4u,Slayer,0,1,1.0,200.0,1.0,True,0.0,1.0,True,1000 damage every 5 seconds => 200
Taldarim,4uu,Concussive Slayer,0,1,1.0,300.0,1.0,True,0.0,1.0,True,1500 damage every 5 seconds => 300
Taldarim,4uu,Barrage Slayer,0,1,1.0,400.0,1.0,True,0.0,1.0,True,400 damage per blast 5 times => 2000. Cooldown is 5 sec: 2000/5=400
Taldarim,5,Ascendant,0,3,1.0,0.0,1,True,0.0,1.0,True,Attack bounces 2 times + main attack => 3
